holm_family,comparison,method_a,method_b,budget_k,snr_order,snr_label,n_subjects,mean_method_a,mean_method_b,mean_paired_difference,mean_paired_difference_pp,median_paired_difference,sd_paired_difference,sem_paired_difference,ci95_difference_low,ci95_difference_high,ci95_difference_low_pp,ci95_difference_high_pp,cohen_dz,subject_wins_method_a,subject_ties,subject_losses_method_a,shapiro_wilk_statistic,shapiro_wilk_pvalue,selected_test,test_statistic,pvalue_raw,pvalue_holm,significant_holm_0_05
semantic_vs_fbcsp,Semantic residual vs FBCSP + PCA,Semantic residual,FBCSP + PCA,16,0,-10_dB,9,0.3820766883355978,0.3642053305176062,0.017871357817991665,1.7871357817991664,0.017374757586290424,0.007914895777149612,0.002638298592383204,0.011787430354052667,0.023955285281930663,1.1787430354052668,2.3955285281930663,2.257939753241788,9,0,0,0.9515061619330692,0.7066043347876358,paired_t_test,6.773819259725364,0.00014155816893506672,0.003397396054441601,True
semantic_vs_fbcsp,Semantic residual vs FBCSP + PCA,Semantic residual,FBCSP + PCA,16,1,-5_dB,9,0.46298682253002305,0.43553921836847703,0.02744760416154607,2.744760416154607,0.029372643171646118,0.013494166300427705,0.004498055433475902,0.01707506973157307,0.037820138591519066,1.7075069731573072,3.7820138591519066,2.034034822935012,9,0,0,0.9403946851522401,0.5860593630438322,paired_t_test,6.1021044688050345,0.00028880055979470796,0.006642412875278283,True
semantic_vs_fbcsp,Semantic residual vs FBCSP + PCA,Semantic residual,FBCSP + PCA,16,2,0_dB,9,0.5387681973192036,0.5104806550800929,0.028287542239110737,2.8287542239110737,0.026043113566148024,0.015331058133515455,0.005110352711171819,0.016503047754796704,0.04007203672342477,1.6503047754796705,4.007203672342477,1.845113493978013,9,0,0,0.9118744328363326,0.3292151545392603,paired_t_test,5.53534048193404,0.0005503637249492583,0.012108001948883682,True
semantic_vs_fbcsp,Semantic residual vs FBCSP + PCA,Semantic residual,FBCSP + PCA,16,3,5_dB,9,0.5764972790984515,0.5553075325728464,0.02118974652560513,2.1189746525605133,0.02649092729565472,0.014550357578798584,0.0048501191929328615,0.010005351610468862,0.0323741414407414,1.0005351610468862,3.2374141440741395,1.4563041774643974,9,0,0,0.8064663685217699,0.024199280860066483,wilcoxon_signed_rank,0.0,0.00390625,0.0625,False
semantic_vs_fbcsp,Semantic residual vs FBCSP + PCA,Semantic residual,FBCSP + PCA,16,4,10_dB,9,0.590115571399084,0.5747223352146508,0.015393236184433267,1.5393236184433268,0.019627685185818144,0.014310592145414457,0.004770197381804819,0.00439314129625127,0.026393331072615264,0.43931412962512695,2.6393331072615265,1.0756533362154215,7,0,2,0.89704260938915,0.23535367025601323,paired_t_test,3.2269600086462646,0.012112074611248061,0.1574569699462248,False
semantic_vs_fbcsp,Semantic residual vs FBCSP + PCA,Semantic residual,FBCSP + PCA,16,5,15_dB,9,0.594463811644528,0.5821838053017918,0.012280006342736084,1.2280006342736083,0.011708800009662124,0.015081910158512898,0.005027303386170966,0.0006870239452999305,0.023872988740172237,0.06870239452999305,2.387298874017224,0.8142208920270424,7,0,2,0.9395446642423289,0.5771136329122304,paired_t_test,2.442662676081127,0.040396384211441566,0.44436022632585725,False
semantic_vs_fbcsp,Semantic residual vs FBCSP + PCA,Semantic residual,FBCSP + PCA,16,6,20_dB,9,0.5956841557611918,0.5832866694126339,0.012397486348557918,1.2397486348557918,0.0080347532521583,0.014555576694451722,0.0048518588981505744,0.001209079665995566,0.02358589303112027,0.1209079665995566,2.358589303112027,0.8517344663701011,7,0,2,0.9329613206760522,0.5100437749184741,paired_t_test,2.555203399110303,0.0338990428238669,0.4067885138864028,False
semantic_vs_fbcsp,Semantic residual vs FBCSP + PCA,Semantic residual,FBCSP + PCA,16,7,noise_free,9,0.5957932911017834,0.5838282101000838,0.011965081001699573,1.1965081001699573,0.008050385319609887,0.016055808555089705,0.005351936185029902,-0.00037650597232818765,0.024306667975727336,-0.037650597232818765,2.4306667975727336,0.745218215616219,6,0,3,0.9430800082158564,0.6146689114041113,paired_t_test,2.235654646848657,0.05580250379182983,0.4942837851385894,False
semantic_vs_fbcsp,Semantic residual vs FBCSP + PCA,Semantic residual,FBCSP + PCA,32,0,-10_dB,9,0.411026037706961,0.3862976470129277,0.024728390694033337,2.4728390694033338,0.022979867609500937,0.01401039670032767,0.0046701322334425565,0.013959046451764535,0.035497734936302136,1.3959046451764534,3.5497734936302137,1.7650028919919876,9,0,0,0.9097034666865264,0.3138046018776879,paired_t_test,5.2950086759759625,0.0007327917315994647,0.015388626363588759,True
semantic_vs_fbcsp,Semantic residual vs FBCSP + PCA,Semantic residual,FBCSP + PCA,32,1,-5_dB,9,0.494572701420532,0.46280549969104634,0.03176720172948569,3.176720172948569,0.026738757112212075,0.01832462654755084,0.006108208849183614,0.0176816468645776,0.04585275659439378,1.76816468645776,4.585275659439378,1.7335797620242088,9,0,0,0.9000277648285897,0.2521588642761225,paired_t_test,5.200739286072627,0.0008216599964060442,0.016433199928120885,True
